Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Audio;Earphone, Headphone, & Headset;;Rp. 10000;Rp. 10000; Rp389.640.000,00 ;38.964;2.826;4,84;7,25%;KOTA JAKARTA UTARA;37.649;1.315;3,49;2.776;5;1,80;;
Audio;Earphone, Headphone, & Headset;;Rp. 34999;Rp. 34999; Rp221.753.664,00 ;6.336;2.779;4,75;43,86%;KOTA JAKARTA BARAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 55000;Rp. 55000; Rp540.650.000,00 ;9.830;5.250;4,77;53,41%;KOTA JAKARTA UTARA;8.787;143;11,87;4.694;556;11,84;;
Audio;Earphone, Headphone, & Headset;;Rp. 10000;Rp. 11500; Rp13.600.000,00 ;1.360;417;4,70;30,66%;KOTA JAKARTA PUSAT;645;715;11,85;117;3;256,41;;
Audio;Earphone, Headphone, & Headset;;Rp. 34900;Rp. 39900; Rp950.012.900,00 ;27.221;15.035;4,88;55,23%;KOTA JAKARTA UTARA;2.615;126;4,64;14.457;578;4,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 5500;Rp. 5500; Rp12.441.000,00 ;2.262;890;4,51;39,35%;KOTA JAKARTA BARAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 38900;Rp. 38900; Rp1.131.795.500,00 ;29.095;16.389;4,84;56,33%;KOTA JAKARTA TIMUR;2.795;1.145;4,97;15.785;64;3,83;;
Audio;Earphone, Headphone, & Headset;;Rp. 4200;Rp. 4200; Rp52.554.600,00 ;12.513;3.709;4,44;29,64%;KOTA SURABAYA;11.294;1.219;1,79;3.347;362;10,82;;
Audio;Earphone, Headphone, & Headset;;Rp. 7900;Rp. 7900; Rp45.361.800,00 ;5.742;2.070;4,66;36,05%;KOTA SEMARANG;451;1.232;27,32;1.682;388;23,07;;
Audio;Earphone, Headphone, & Headset;;Rp. 189000;Rp. 189000; Rp2.040.822.000,00 ;10.798;5.710;4,85;52,88%;KOTA TANGERANG;9.732;166;1,95;5.198;512;9,85;;
Audio;Earphone, Headphone, & Headset;;Rp. 7990;Rp. 7990; Rp160.055.680,00 ;20.032;5.027;4,62;25,09%;KOTA JAKARTA BARAT;1.922;11;5,40;4.761;266;5,59;;
Audio;Earphone, Headphone, & Headset;;Rp. 7542;Rp. 7542; Rp273.058.110,00 ;36.205;11.152;4,71;30,80%;KOTA JAKARTA UTARA;34.798;147;4,43;1.812;34;3,14;;
Audio;Earphone, Headphone, & Headset;;Rp. 8000;Rp. 8000; Rp26.392.000,00 ;3.299;603;4,68;18,28%;KOTA DEPOK;196;1.339;68,32;359;244;67,97;;
Audio;Earphone, Headphone, & Headset;;Rp. 12800;Rp. 12800; Rp35.750.400,00 ;2.793;1.174;4,46;42,03%;KOTA JAKARTA UTARA;196;887;46,54;799;375;46,93;;
Audio;Earphone, Headphone, & Headset;;Rp. 4999;Rp. 4999; Rp18.086.382,00 ;3.618;260;4,72;7,19%;KOTA TANGERANG;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 37900;Rp. 37900; Rp3.846.281.500,00 ;101.485;53.743;4,83;52,96%;KOTA JAKARTA UTARA;1.431;154;1,49;53.247;496;0,93;;
Audio;Earphone, Headphone, & Headset;;Rp. 4500;Rp. 4500; Rp7.915.500,00 ;1.759;177;4,81;10,06%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 2700;Rp. 2700; Rp57.728.700,00 ;21.381;1.809;4,60;8,46%;KOTA JAKARTA UTARA;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 134900;Rp. 152900; Rp675.444.300,00 ;5.007;2.740;4,81;54,72%;KOTA JAKARTA UTARA;3.866;1.141;29,51;2.166;574;26,50;;
Audio;Earphone, Headphone, & Headset;;Rp. 39400;Rp. 39400; Rp1.418.794.000,00 ;36.010;17.474;4,66;48,53%;KOTA JAKARTA BARAT;33.587;2.423;7,21;16.275;1.199;7,37;;
Audio;Earphone, Headphone, & Headset;;Rp. 164500;Rp. 164500; Rp667.870.000,00 ;4.060;2.102;4,86;51,77%;KOTA SURABAYA;2.799;1.261;45,52;1.425;677;47,51;;
Audio;Earphone, Headphone, & Headset;;Rp. 6750;Rp. 7500; Rp41.863.500,00 ;6.202;1.037;4,62;16,72%;KOTA JAKARTA UTARA;5.131;171;2,87;879;158;17,97;;
Audio;Earphone, Headphone, & Headset;;Rp. 17000;Rp. 17000; Rp439.331.000,00 ;25.843;13.315;4,78;51,52%;KOTA JAKARTA PUSAT;2.523;64;2,54;12.952;363;2,80;;
Audio;Earphone, Headphone, & Headset;;Rp. 35900;Rp. 37500; Rp753.612.800,00 ;20.992;5.777;4,63;27,52%;KOTA JAKARTA PUSAT;1.987;1.122;5,65;5.526;251;4,54;;
Audio;Earphone, Headphone, & Headset;;Rp. 152000;Rp. 152000; Rp513.304.000,00 ;3.377;1.893;4,75;56,06%;KOTA JAKARTA BARAT;2.111;1.266;59,97;1.197;696;58,15;;
Audio;Earphone, Headphone, & Headset;;Rp. 5500;Rp. 5500; Rp10.219.000,00 ;1.858;46;4,72;2,48%;KOTA JAKARTA UTARA;11;848;83,96;27;19;70,37;;
Audio;Earphone, Headphone, & Headset;;Rp. 19000;Rp. 25000; Rp339.264.000,00 ;17.856;6.840;4,67;38,31%;KOTA JAKARTA TIMUR;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 51999;Rp. 51999; Rp153.345.051,00 ;2.949;1.497;4,72;50,76%;KOTA JAKARTA UTARA;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 10500;Rp. 10500; Rp19.750.500,00 ;1.881;687;4,64;36,52%;KOTA DEPOK;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 5800;Rp. 5800; Rp102.381.600,00 ;17.652;4.500;4,72;25,49%;KOTA JAKARTA UTARA;16.546;116;6,68;4.265;235;5,51;;
Audio;Earphone, Headphone, & Headset;;Rp. 9750;Rp. 9750; Rp53.157.000,00 ;5.452;2.188;4,69;40,13%;KOTA JAKARTA UTARA;4.365;187;24,93;1.813;375;20,68;;
Audio;Earphone, Headphone, & Headset;;Rp. 19900;Rp. 19900; Rp168.035.600,00 ;8.444;3.687;4,81;43,66%;KOTA JAKARTA UTARA;7.364;18;14,67;3.176;511;16,09;;
Audio;Earphone, Headphone, & Headset;;Rp. 4750;Rp. 4750; Rp183.321.500,00 ;38.594;2.427;4,68;6,29%;KOTA JAKARTA TIMUR;3.738;1.286;3,45;2.363;64;2,71;;
Audio;Earphone, Headphone, & Headset;;Rp. 17500;Rp. 17500; Rp269.255.000,00 ;15.386;6.170;4,75;40,10%;KOTA JAKARTA UTARA;14.544;842;5,79;589;28;4,75;;
Audio;Earphone, Headphone, & Headset;;Rp. 2799;Rp. 2799; Rp19.965.267,00 ;7.133;542;4,59;7,60%;KOTA JAKARTA BARAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 399000;Rp. 399000; Rp2.328.165.000,00 ;5.835;3.444;4,90;59,02%;KOTA BANDUNG;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 39800;Rp. 39800; Rp150.483.800,00 ;3.781;1.880;4,79;49,72%;KOTA JAKARTA UTARA;2.837;944;33,27;1.428;452;31,65;;
Audio;Earphone, Headphone, & Headset;;Rp. 4999;Rp. 4999; Rp30.138.971,00 ;6.029;479;4,77;7,94%;KOTA JAKARTA BARAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 32500;Rp. 42500; Rp540.377.500,00 ;16.627;4.370;4,65;26,28%;KOTA JAKARTA BARAT;1.514;1.523;1,83;3.737;633;16,94;;
Audio;Earphone, Headphone, & Headset;;Rp. 5499;Rp. 5499; Rp27.648.972,00 ;5.028;307;4,75;6,11%;KOTA JAKARTA BARAT;3.683;1.345;36,52;23;14;51,23;;
Audio;Earphone, Headphone, & Headset;;Rp. 4999;Rp. 4999; Rp19.126.174,00 ;3.826;576;4,59;15,05%;KOTA JAKARTA BARAT;2.739;187;39,69;423;153;36,17;;
Audio;Earphone, Headphone, & Headset;;Rp. 80500;Rp. 84000; Rp659.617.000,00 ;8.194;4.419;4,77;53,93%;KOTA JAKARTA UTARA;7.236;958;13,24;3.876;543;14,01;;
Audio;Earphone, Headphone, & Headset;;Rp. 6500;Rp. 7500; Rp244.159.500,00 ;37.563;12.132;4,82;32,30%;KOTA BOGOR;36.365;1.198;3,29;11.848;284;2,40;;
Audio;Earphone, Headphone, & Headset;;Rp. 13000;Rp. 13000; Rp93.704.000,00 ;7.208;2.573;4,40;35,70%;KAB. TANGERANG;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 6900;Rp. 6900; Rp25.888.800,00 ;3.752;610;4,60;16,26%;KOTA DEPOK;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 12750;Rp. 12750; Rp37.982.250,00 ;2.979;1.594;4,69;53,51%;KOTA JAKARTA BARAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 18000;Rp. 18000; Rp678.060.000,00 ;37.670;14.685;4,81;38,98%;KAB. TANGERANG;36.699;971;2,65;1.428;477;3,36;;
Audio;Earphone, Headphone, & Headset;;Rp. 9000;Rp. 9000; Rp64.431.000,00 ;7.159;2.258;4,76;31,54%;KOTA MEDAN;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 5000;Rp. 5000; Rp49.555.000,00 ;9.911;273;4,84;2,75%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 50000;Rp. 50000; Rp1.142.250.000,00 ;22.845;12.831;4,90;56,17%;KOTA TANGERANG;2.134;1.811;8,70;11.792;139;8,81;;
Audio;Earphone, Headphone, & Headset;;Rp. 17500;Rp. 49000; Rp673.505.000,00 ;38.486;18.341;4,65;47,66%;KOTA JAKARTA UTARA;36.933;1.553;4,25;17.618;723;4,10;;
Audio;Earphone, Headphone, & Headset;;Rp. 6500;Rp. 6500; Rp54.099.500,00 ;8.323;3.610;4,73;43,37%;KOTA BOGOR;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 82800;Rp. 82800; Rp231.591.600,00 ;2.797;1.502;4,80;53,70%;KOTA JAKARTA UTARA;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 36800;Rp. 68900; Rp2.470.752.000,00 ;67.140;31.366;4,67;46,72%;KOTA JAKARTA BARAT;61.943;5.197;8,39;28.941;2.425;8,38;;
Audio;Earphone, Headphone, & Headset;;Rp. 32500;Rp. 62500; Rp1.513.980.000,00 ;46.584;19.237;4,69;41,30%;KOTA JAKARTA BARAT;43.768;2.816;6,43;1.794;1.333;7,45;;
Audio;Earphone, Headphone, & Headset;;Rp. 18900;Rp. 18900; Rp435.928.500,00 ;23.065;10.517;4,77;45,60%;KAB. BEKASI;21.177;1.888;8,92;9.678;839;8,67;;
Audio;Earphone, Headphone, & Headset;;Rp. 72900;Rp. 72900; Rp427.121.100,00 ;5.859;3.026;4,88;51,65%;KOTA JAKARTA UTARA;4.647;1.212;26,81;2.399;627;26,14;;
Audio;Earphone, Headphone, & Headset;;Rp. 55000;Rp. 55000; Rp175.945.000,00 ;3.199;1.661;4,52;51,92%;KOTA SURABAYA;1.799;14;77,82;96;755;83,33;;
Audio;Earphone, Headphone, & Headset;;Rp. 169500;Rp. 173000; Rp1.060.731.000,00 ;6.258;2.776;4,90;44,36%;KOTA JAKARTA BARAT;538;95;17,90;2.294;482;21,01;;
Audio;Earphone, Headphone, & Headset;;Rp. 48900;Rp. 48900; Rp131.834.400,00 ;2.696;1.384;4,59;51,34%;KOTA JAKARTA BARAT;1.969;727;36,92;132;352;34,11;;
Audio;Earphone, Headphone, & Headset;;Rp. 35000;Rp. 35000; Rp445.130.000,00 ;12.718;5.917;4,77;46,52%;KOTA JAKARTA UTARA;11.991;727;6,63;5.569;348;6,25;;
Audio;Earphone, Headphone, & Headset;;Rp. 42900;Rp. 42900; Rp68.253.900,00 ;1.591;851;4,59;53,49%;KOTA JAKARTA BARAT;683;98;132,94;374;477;127,54;;
Audio;Earphone, Headphone, & Headset;;Rp. 10900;Rp. 49000; Rp10.845.500,00 ;995;440;4,77;44,22%;KOTA JAKARTA UTARA;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 1000;Rp. 4999; Rp9.395.000,00 ;9.395;1.974;4,56;21,01%;KOTA JAKARTA TIMUR;8.735;66;7,56;1.861;113;6,07;;
Audio;Earphone, Headphone, & Headset;;Rp. 5700;Rp. 5700; Rp121.062.300,00 ;21.239;3.791;4,69;17,85%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 4700;Rp. 4700; Rp27.194.200,00 ;5.786;265;4,53;4,58%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 35900;Rp. 39900; Rp438.159.500,00 ;12.205;6.406;4,90;52,49%;KOTA JAKARTA UTARA;11.438;767;6,76;652;354;5,85;;
Audio;Earphone, Headphone, & Headset;;Rp. 25000;Rp. 25000; Rp502.700.000,00 ;20.108;9.865;4,65;49,06%;KAB. TANGERANG;19.299;89;4,19;9.439;426;4,51;;
Audio;Earphone, Headphone, & Headset;;Rp. 104900;Rp. 118900; Rp1.553.883.700,00 ;14.813;8.622;4,87;58,21%;KOTA JAKARTA UTARA;13.996;817;5,84;824;418;5,10;;
Audio;Earphone, Headphone, & Headset;;Rp. 18800;Rp. 18800; Rp88.698.400,00 ;4.718;2.269;4,78;48,09%;KAB. BEKASI;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 17500;Rp. 37000; Rp33.005.000,00 ;1.886;671;4,75;35,58%;KOTA JAKARTA UTARA;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 34900;Rp. 64900; Rp1.516.300.300,00 ;43.447;22.386;4,84;51,52%;KOTA JAKARTA UTARA;4.222;1.425;3,39;21.698;688;3,17;;
Audio;Earphone, Headphone, & Headset;;Rp. 169000;Rp. 189000; Rp219.193.000,00 ;1.297;700;4,73;53,97%;KOTA JAKARTA UTARA;444;853;192,12;227;473;208,37;;
Audio;Earphone, Headphone, & Headset;;Rp. 95000;Rp. 95000; Rp1.418.065.000,00 ;14.927;8.969;4,88;60,09%;KAB. TANGERANG;;;;;;0,00;;
Audio;Earphone, Headphone, & Headset;;Rp. 34900;Rp. 39900; Rp328.478.800,00 ;9.412;5.000;4,83;53,12%;KOTA JAKARTA UTARA;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 250;Rp. 250; Rp7.848.250,00 ;31.393;111;4,88;0,35%;KOTA BLITAR;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 250;Rp. 250; Rp1.798.000,00 ;7.192;16;4,88;0,22%;KOTA BLITAR;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 600;Rp. 600; Rp58.884.600,00 ;98.141;3.738;4,87;3,81%;KOTA TANGERANG;911;741;7,73;3.528;21;5,95;;
Elektronik;Elektronik Lainnya;;Rp. 2950;Rp. 2950; Rp99.940.100,00 ;33.878;722;4,81;2,13%;KAB. BOGOR;26.544;7.334;27,63;621;11;16,26;;
Elektronik;Elektronik Lainnya;;Rp. 350;Rp. 450; Rp2.405.900,00 ;6.874;2;5,00;0,03%;KOTA SEMARANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 100; Rp4.272.800,00 ;42.728;274;4,83;0,64%;KOTA BLITAR;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 285;Rp. 285; Rp3.363.855,00 ;11.803;124;4,90;1,05%;KAB. JOMBANG;734;4.463;6,84;76;48;63,16;;
Elektronik;Elektronik Lainnya;;Rp. 150;Rp. 150; Rp4.683.150,00 ;31.221;512;4,87;1,64%;KOTA SURABAYA;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 2000;Rp. 3000; Rp42.538.000,00 ;21.269;228;4,81;1,07%;KAB. GRESIK;15.988;5.281;33,31;171;57;33,33;;
Elektronik;Elektronik Lainnya;;Rp. 1900;Rp. 1900; Rp157.384.600,00 ;82.834;3.581;4,86;4,32%;KOTA TANGERANG;7.724;563;7,29;3.352;229;6,83;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 100; Rp901.400,00 ;9.014;76;4,95;0,84%;KAB. BEKASI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 900;Rp. 2000; Rp11.585.700,00 ;12.873;888;4,84;6,90%;KAB. BEKASI;7.769;514;65,70;622;266;42,77;;
Elektronik;Elektronik Lainnya;;Rp. 1600;Rp. 2000; Rp209.345.600,00 ;130.841;1.019;4,92;0,78%;KOTA BANDUNG;124.981;586;4,69;979;4;4,09;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 100; Rp10.310.000,00 ;103.100;448;4,95;0,43%;KOTA TEBING TINGGI;99.765;3.335;3,34;432;16;3,70;;
Elektronik;Elektronik Lainnya;;Rp. 8700;Rp. 8700; Rp274.824.300,00 ;31.589;1.219;4,87;3,86%;KOTA JAKARTA BARAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 1850;Rp. 1850; Rp4.933.950,00 ;2.667;9;4,56;0,34%;KOTA JAKARTA BARAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 7800;Rp. 7800; Rp18.361.200,00 ;2.354;61;4,85;2,59%;KOTA JAKARTA BARAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 850;Rp. 850; Rp9.729.950,00 ;11.447;92;4,83;0,80%;KAB. KUDUS;7.919;3.528;44,55;63;29;46,03;;
Elektronik;Elektronik Lainnya;;Rp. 200;Rp. 200; Rp6.218.200,00 ;31.091;275;4,88;0,88%;KOTA TANGERANG;27.358;3.733;13,65;241;34;14,11;;
Elektronik;Elektronik Lainnya;;Rp. 250;Rp. 250; Rp3.379.000,00 ;13.516;94;4,81;0,70%;KOTA BLITAR;9.717;3.799;39,96;66;28;42,42;;
Elektronik;Elektronik Lainnya;;Rp. 5500;Rp. 25800; Rp39.644.000,00 ;7.208;487;4,84;6,76%;KAB. NGAWI;3.696;3.512;95,22;283;24;72,08;;
Elektronik;Elektronik Lainnya;;Rp. 170;Rp. 170; Rp3.020.900,00 ;17.770;213;4,86;1,20%;KOTA TANGERANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 105; Rp27.942.600,00 ;279.426;1.405;4,82;0,50%;KAB. JOMBANG;276.233;3.193;1,16;1.379;26;1,89;;
Elektronik;Elektronik Lainnya;;Rp. 297;Rp. 297; Rp23.968.791,00 ;80.703;622;4,85;0,77%;KOTA MADIUN;77.437;3.266;4,22;591;31;5,25;;
Elektronik;Elektronik Lainnya;;Rp. 122;Rp. 135; Rp4.232.424,00 ;34.692;176;4,90;0,51%;KAB. BOYOLALI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 1500;Rp. 1500; Rp16.117.500,00 ;10.745;349;4,79;3,25%;KOTA BANDUNG;8.414;2.331;27,74;237;112;47,26;;
Elektronik;Elektronik Lainnya;;Rp. 490;Rp. 500; Rp2.346.120,00 ;4.788;72;4,94;1,50%;KOTA JAKARTA BARAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 250;Rp. 250; Rp3.716.750,00 ;14.867;44;4,91;0,30%;KOTA BLITAR;1.198;2.887;24,98;35;9;25,71;;
Elektronik;Elektronik Lainnya;;Rp. 300;Rp. 1000; Rp7.578.000,00 ;25.260;495;4,88;1,96%;KAB. MALANG;22.117;3.143;14,22;446;49;10,99;;
Elektronik;Elektronik Lainnya;;Rp. 1350;Rp. 1600; Rp11.422.350,00 ;8.461;186;4,87;2,20%;KOTA TANGERANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 17500;Rp. 17500; Rp518.805.000,00 ;29.646;3.732;4,82;12,59%;KOTA JAKARTA PUSAT;26.591;355;11,49;3.569;163;4,57;;
Elektronik;Elektronik Lainnya;;Rp. 250;Rp. 250; Rp5.222.750,00 ;20.891;210;4,89;1,01%;KOTA TANGERANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 500;Rp. 500; Rp3.395.500,00 ;6.791;68;4,88;1,00%;KOTA TANGERANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 4500;Rp. 4500; Rp1.372.500,00 ;305;4;5,00;1,31%;KAB. DEMAK;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 150;Rp. 150; Rp291.750,00 ;1.945;15;4,87;0,77%;KOTA TANGERANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 5000;Rp. 5000; Rp60.025.000,00 ;12.005;2.802;4,52;23,34%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 900;Rp. 900; Rp22.981.500,00 ;25.535;486;4,87;1,90%;KAB. MALANG;22.751;2.784;12,24;438;48;10,96;;
Elektronik;Elektronik Lainnya;;Rp. 125;Rp. 125; Rp3.067.875,00 ;24.543;136;4,95;0,55%;KAB. BEKASI;21.781;2.762;12,69;14;32;30,77;;
Elektronik;Elektronik Lainnya;;Rp. 200;Rp. 200; Rp19.950.200,00 ;99.751;454;4,92;0,46%;KOTA TEBING TINGGI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 2500;Rp. 2500; Rp54.890.000,00 ;21.956;273;4,76;1,24%;KAB. GRESIK;19.286;267;13,84;246;27;10,98;;
Elektronik;Elektronik Lainnya;;Rp. 249;Rp. 249; Rp4.562.427,00 ;18.323;143;4,92;0,78%;KAB. BEKASI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 2225;Rp. 2225; Rp37.653.675,00 ;16.923;375;4,91;2,22%;KOTA JAKARTA BARAT;14.246;2.677;18,79;366;9;2,46;;
Elektronik;Elektronik Lainnya;;Rp. 150;Rp. 150; Rp2.217.600,00 ;14.784;66;4,94;0,45%;KAB. BEKASI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 100; Rp929.100,00 ;9.291;55;4,95;0,59%;KOTA JAKARTA TIMUR;6.966;2.325;33,38;38;17;44,74;;
Elektronik;Elektronik Lainnya;;Rp. 6200;Rp. 6200; Rp131.886.400,00 ;21.272;1.277;4,87;6,00%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 300;Rp. 300; Rp7.622.400,00 ;25.408;1.062;4,93;4,18%;KAB. BREBES;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 7800;Rp. 7800; Rp6.247.800,00 ;801;11;4,82;1,37%;KOTA JAKARTA BARAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 743;Rp. 743; Rp9.088.376,00 ;12.232;816;4,83;6,67%;KAB. BEKASI;972;2.512;25,84;645;171;26,51;;
Elektronik;Elektronik Lainnya;;Rp. 99;Rp. 99; Rp543.708,00 ;5.492;41;4,95;0,75%;KAB. JOMBANG;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 11500;Rp. 11500; Rp32.683.000,00 ;2.842;387;4,58;13,62%;KOTA JAKARTA UTARA;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 1100;Rp. 1100; Rp47.406.700,00 ;43.097;995;4,80;2,31%;KOTA JAKARTA BARAT;4.911;2.186;5,34;942;53;5,63;;
Elektronik;Elektronik Lainnya;;Rp. 3700;Rp. 3700; Rp176.486.300,00 ;47.699;3.080;4,82;6,46%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 32000;Rp. 32000; Rp96.416.000,00 ;3.013;663;4,82;22,00%;KOTA JAKARTA SELATAN;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 100;Rp. 100; Rp2.517.200,00 ;25.172;213;4,88;0,85%;KOTA MADIUN;2.296;2.266;9,89;21;12;5,97;;
Elektronik;Elektronik Lainnya;;Rp. 27027;Rp. 45936; Rp2.017.322.307,00 ;74.641;24.912;4,73;33,38%;KOTA JAKARTA BARAT;72.186;2.455;3,49;24.248;664;2,74;;
Elektronik;Elektronik Lainnya;;Rp. 500;Rp. 500; Rp15.887.000,00 ;31.774;972;4,92;3,06%;KOTA MALANG;29.487;2.287;7,76;892;8;8,97;;
Elektronik;Elektronik Lainnya;;Rp. 600;Rp. 600; Rp40.719.600,00 ;67.866;2.115;4,92;3,12%;KAB. BREBES;6.551;2.356;3,60;228;87;4,29;;
Elektronik;Elektronik Lainnya;;Rp. 150;Rp. 150; Rp1.743.450,00 ;11.623;278;4,89;2,39%;KOTA TANGERANG;9.418;225;23,41;227;51;22,47;;
Elektronik;Elektronik Lainnya;;Rp. 600;Rp. 600; Rp13.956.000,00 ;23.260;346;4,97;1,49%;KOTA TEBING TINGGI;;;;;;0,00;;
Elektronik;Elektronik Lainnya;;Rp. 150;Rp. 150; Rp563.100,00 ;3.754;43;4,95;1,15%;KOTA TANGERANG;;;;;;0,00;;
Tiket, Voucher, & Layanan;E-Money;;Rp. 1000;Rp. 1000; Rp20.851.000,00 ;20.851;169;4,96;0,81%;KAB. BOGOR;9.525;11.326;118,98;86;83;96,51;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 6975;Rp. 31500; Rp407.270.250,00 ;58.390;647;4,98;1,11%;KAB. INDRAMAYU;46.883;1.157;24,54;544;13;18,93;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 656;Rp. 1625; Rp16.073.968,00 ;24.503;193;4,87;0,79%;KOTA BANDUNG;14.428;175;69,83;19;84;77,06;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 15000;Rp. 100000; Rp2.068.185.000,00 ;137.879;84.165;4,92;61,04%;KAB. BANDUNG;;;;;;0,00;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 550;Rp. 2300; Rp18.680.750,00 ;33.965;194;4,81;0,57%;KOTA JAKARTA UTARA;27.697;6.268;22,64;164;3;18,29;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 4000;Rp. 4000; Rp134.172.000,00 ;33.543;5.081;4,70;15,15%;KOTA JAKARTA BARAT;;;;;;0,00;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 6375;Rp. 31950; Rp141.423.000,00 ;22.184;410;4,98;1,85%;KAB. INDRAMAYU;;;;;;0,00;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 14500;Rp. 14900; Rp574.127.500,00 ;39.595;8.503;4,79;21,47%;KAB. BANDUNG BARAT;;;;;;0,00;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 23500;Rp. 24600; Rp5.837.752.500,00 ;248.415;55.179;4,88;22,21%;KAB. BANDUNG BARAT;;;;;;0,00;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 1805;Rp. 1805; Rp582.690.100,00 ;322.820;3.952;4,84;1,22%;KAB. GARUT;319.474;3.346;1,47;3.928;24;0,61;;
Fashion Muslim;Fashion Muslim Lainnya;;Rp. 25000;Rp. 155000; Rp82.200.000,00 ;3.288;1.254;4,93;38,14%;KOTA JAKARTA UTARA;;;;;;0,00;;
