Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Parfum Sepatu;Rp. 15000;Rp. 15000; Rp387.180.000,00 ;25.812;9.648;4,82;37,38%;KOTA JAKARTA BARAT;24.287;1.525;6,28;916;542;5,95;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Insole Sepatu;Rp. 20000;Rp. 20000; Rp443.400.000,00 ;22.170;10.633;4,83;47,96%;KAB. KLATEN;2.178;192;5,19;1.146;487;4,80;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 10999;Rp. 10999; Rp189.358.784,00 ;17.216;2.396;4,84;13,92%;KOTA JAKARTA UTARA;1.572;1.496;9,52;2.121;275;12,97;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Insole Sepatu;Rp. 14700;Rp. 14700; Rp304.892.700,00 ;20.741;7.065;4,71;34,06%;KOTA SURABAYA;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Parfum Sepatu;Rp. 15000;Rp. 15000; Rp40.860.000,00 ;2.724;1.014;4,87;37,22%;KOTA TANGERANG SELATAN;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Shoe Tree & Horns;Rp. 13600;Rp. 13999; Rp412.841.600,00 ;30.356;5.863;4,78;19,31%;KOTA SURABAYA;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Shoe Tree & Horns;Rp. 14799;Rp. 14999; Rp523.559.022,00 ;35.378;7.845;4,69;22,17%;KOTA JAKARTA TIMUR;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 15200;Rp. 25000; Rp183.068.800,00 ;12.044;4.822;4,74;40,04%;KAB. TANGERANG;1.685;1.359;12,72;4.278;544;12,72;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 7350;Rp. 7350; Rp13.332.900,00 ;1.814;447;4,77;24,64%;KOTA DEPOK;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 25000;Rp. 26000; Rp159.950.000,00 ;6.398;2.322;4,86;36,29%;KAB. BADUNG;;;;;;0,00;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 9999;Rp. 9999; Rp221.977.800,00 ;22.200;4.768;4,71;21,48%;KOTA JAKARTA BARAT;;;;;;0,00;;
